0,1.0_0,1.2_0,inf_0
2022-10-12 19:11:34.959627008,743124992.0,,
2022-10-12 19:11:35.471955968,743124992.0,,
2022-10-12 19:11:36.210792960,743124992.0,,
2022-10-12 19:11:36.465872128,743395328.0,,
2022-10-12 19:11:36.966317056,743395328.0,,
2022-10-12 19:11:37.650059008,743395328.0,,
2022-10-12 19:11:37.968545024,743395328.0,,
2022-10-12 19:11:38.477006848,744275968.0,,
2022-10-12 19:11:38.969966848,744546304.0,,
2022-10-12 19:11:39.473725952,744546304.0,,
2022-10-12 19:11:40.171497216,744816640.0,,
2022-10-12 19:11:40.473774848,744865792.0,,
2022-10-12 19:11:40.974489856,744865792.0,,
2022-10-12 19:11:41.472742144,744865792.0,,
2022-10-12 19:11:42.413805056,744902656.0,,
2022-10-12 19:11:42.472752128,745189376.0,,
2022-10-12 19:11:42.965019904,745193472.0,,
2022-10-12 19:11:43.471571968,745369600.0,,
2022-10-12 19:11:43.973076224,745369600.0,,
2022-10-12 19:11:44.471554048,745394176.0,,
2022-10-12 19:11:44.969851136,745414656.0,,
2022-10-12 19:11:45.472570880,745414656.0,,
2022-10-12 19:11:46.202708992,745414656.0,,
2022-10-12 19:11:46.968027136,745414656.0,,
2022-10-12 19:11:51.889496064,745439232.0,,
2022-10-12 19:11:51.960244992,745439232.0,,
2022-10-12 19:11:52.471128832,900562944.0,,
2022-10-12 19:11:52.961795072,1895772160.0,,
2022-10-12 19:11:53.470220032,5036711936.0,,
2022-10-12 19:11:53.960006912,7936233472.0,,
2022-10-12 19:11:54.468349952,9229885440.0,,
2022-10-12 19:11:54.959794944,9561542656.0,,
2022-10-12 19:11:55.470809856,8897339392.0,,
2022-10-12 19:11:55.963337984,10381492224.0,,
2022-10-12 19:11:56.468337152,10531721216.0,,
2022-10-12 19:11:56.959880960,9449213952.0,,
2022-10-12 19:11:57.468172032,11064209408.0,,
2022-10-12 19:11:58.418019072,7861579776.0,,
2022-10-12 19:11:58.469006080,7066173440.0,,
2022-10-12 19:11:58.960285952,9240080384.0,,
2022-10-12 19:11:59.471617024,11255169024.0,,
2022-10-12 19:11:59.960137984,13597876224.0,,
2022-10-12 19:12:00.473708032,9169985536.0,,
2022-10-12 19:12:00.962065920,10600452096.0,,
2022-10-12 19:12:01.469224960,10804883456.0,,
2022-10-12 19:12:01.960988928,9834520576.0,,
2022-10-12 19:12:02.469079040,11344035840.0,,
2022-10-12 19:12:02.959698944,8817438720.0,,
2022-10-12 19:12:03.468674816,11447877632.0,,
2022-10-12 19:12:03.961460224,12880535552.0,,
2022-10-12 19:12:04.468823808,11466797056.0,,
2022-10-12 19:12:04.960092928,10911199232.0,,
2022-10-12 19:12:05.468241920,9900511232.0,,
2022-10-12 19:12:05.960314880,10799783936.0,,
2022-10-12 19:12:06.466926080,9510629376.0,,
2022-10-12 19:12:06.970952960,11199283200.0,,
2022-10-12 19:12:07.471623936,11820642304.0,,
2022-10-12 19:12:07.960127232,11190095872.0,,
2022-10-12 19:12:08.469191168,9861820416.0,,
2022-10-12 19:12:08.960663040,10034466816.0,,
2022-10-12 19:12:09.469948160,11064524800.0,,
2022-10-12 19:12:09.959752960,12604948480.0,,
2022-10-12 19:12:10.472093184,9454424064.0,,
2022-10-12 19:12:10.960033024,10438602752.0,,
2022-10-12 19:12:11.472691968,11300106240.0,,
2022-10-12 19:12:11.962131968,8411193344.0,,
2022-10-12 19:12:12.468023040,10910433280.0,,
2022-10-12 19:12:12.964095232,11011141632.0,,
2022-10-12 19:12:13.469762048,12276371456.0,,
