0,1.0_0,1.0_1,1.2_0,1.2_1,inf_0,inf_1
2022-10-12 18:54:53.409756928,706486272.0,,,,,
2022-10-12 18:54:53.910267136,706486272.0,,,,,
2022-10-12 18:54:54.410688000,1965707264.0,,,,,
2022-10-12 18:54:54.910313984,3965865984.0,,,,,
2022-10-12 18:54:55.410200064,7885275136.0,,,,,
2022-10-12 18:54:55.910332928,10365599744.0,,,,,
2022-10-12 18:54:56.410428928,13173964800.0,,,,,
2022-10-12 18:54:56.909758208,16037482496.0,,,,,
2022-10-12 18:54:57.410078976,18740936704.0,,,,,
2022-10-12 18:54:57.910806016,20846628864.0,,,,,
2022-10-12 18:54:58.410347008,23000186880.0,,,,,
2022-10-12 18:54:58.910497792,25443168256.0,,,,,
2022-10-12 18:54:59.410717952,28078968832.0,,,,,
2022-10-12 18:54:59.910629120,31133626368.0,,,,,
2022-10-12 18:55:00.410733824,33404608512.0,,,,,
2022-10-12 18:55:00.910893056,36455559168.0,,,,,
2022-10-12 18:55:01.409965056,38773882880.0,,,,,
2022-10-12 18:55:01.910295040,42213937152.0,,,,,
2022-10-12 18:55:02.410126080,43883032576.0,,,,,
2022-10-12 18:55:02.910300928,47797608448.0,,,,,
2022-10-12 18:55:03.410437120,50355269632.0,,,,,
2022-10-12 18:55:03.911077120,52005654528.0,,,,,
2022-10-12 18:55:04.410752000,55266803712.0,,,,,
2022-10-12 18:55:04.910507008,58614489088.0,,,,,
2022-10-12 18:55:05.410365952,62055366656.0,,,,,
2022-10-12 18:55:05.910278144,64374001664.0,,,,,
2022-10-12 18:55:06.410892032,66432794624.0,,,,,
2022-10-12 18:55:06.910365184,69745299456.0,,,,,
2022-10-12 18:55:07.410307840,72964825088.0,,,,,
2022-10-12 18:55:07.909797888,76627128320.0,,,,,
2022-10-12 18:55:08.410254848,78664462336.0,,,,,
2022-10-12 18:55:08.910203904,81901371392.0,,,,,
2022-10-12 18:55:09.410742016,81489698816.0,,,,,
2022-10-12 18:55:09.910119936,79999021056.0,,,,,
2022-10-12 18:55:10.410661888,78324289536.0,,,,,
2022-10-12 18:55:10.910296832,78856642560.0,,,,,
2022-10-12 18:55:11.410855168,75900645376.0,,,,,
2022-10-12 18:55:11.910768128,77479751680.0,,,,,
2022-10-12 18:55:12.410157824,73586483200.0,,,,,
2022-10-12 18:55:12.910341120,72185442304.0,,,,,
2022-10-12 18:55:13.410178816,69853097984.0,,,,,
2022-10-12 18:55:13.909824000,70261501952.0,,,,,
2022-10-12 18:55:14.410052096,68149784576.0,,,,,
